,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
232457,MCOU,XX,62175,892,41,20134,ATORVASTAT,27511,911,23426.47,23345.9,80.57
232460,MCOU,XX,62175,892,46,20134,ATORVASTAT,78227.03,2621,74156.13,73993.92,162.21
105504,FFSU,XX,62175,892,41,20134,ATORVASTAT,19332,626,10953.06,10760.05,193.01
105507,FFSU,XX,62175,892,46,20134,ATORVASTAT,70421,1990,30955.14,29437.65,1517.49
232457,MCOU,XX,62175,892,41,20134,ATORVASTAT,27511,911,23426.47,23345.9,80.57
232460,MCOU,XX,62175,892,46,20134,ATORVASTAT,78227.03,2621,74156.13,73993.92,162.21
105510,FFSU,XX,62175,897,41,20134,ATORVASTAT,7313,236,3663.83,3571.42,92.41
105513,FFSU,XX,62175,897,46,20134,ATORVASTAT,7903.126,236,3795.9,3686.3,109.6
232463,MCOU,XX,62175,897,41,20134,ATORVASTAT,10499,323,8102.55,8077.91,24.64
232466,MCOU,XX,62175,897,46,20134,ATORVASTAT,18091,605,16797.67,16768.87,28.8
105510,FFSU,XX,62175,897,41,20134,ATORVASTAT,7313,236,3663.83,3571.42,92.41
105513,FFSU,XX,62175,897,46,20134,ATORVASTAT,7903.126,236,3795.9,3686.3,109.6
232463,MCOU,XX,62175,897,41,20134,ATORVASTAT,10499,323,8102.55,8077.91,24.64
232466,MCOU,XX,62175,897,46,20134,ATORVASTAT,18091,605,16797.67,16768.87,28.8
105510,FFSU,XX,62175,897,41,20134,ATORVASTAT,7313,236,3663.83,3571.42,92.41
105513,FFSU,XX,62175,897,46,20134,ATORVASTAT,7903.126,236,3795.9,3686.3,109.6
232463,MCOU,XX,62175,897,41,20134,ATORVASTAT,10499,323,8102.55,8077.91,24.64
232466,MCOU,XX,62175,897,46,20134,ATORVASTAT,18091,605,16797.67,16768.87,28.8
43867,FFSU,XX,591,3774,10,20134,ATORVASTAT,12485.5,404,4638.43,4524.38,114.05
43871,FFSU,XX,591,3774,19,20134,ATORVASTAT,46208,1502,18477.05,17792.81,684.24
171209,MCOU,XX,591,3774,10,20134,ATORVASTAT,54386,1822,40474.81,40401.21,73.6
171213,MCOU,XX,591,3774,19,20134,ATORVASTAT,181426.845,6014,129825.25,129203.29,621.96
43867,FFSU,XX,591,3774,10,20134,ATORVASTAT,12485.5,404,4638.43,4524.38,114.05
43871,FFSU,XX,591,3774,19,20134,ATORVASTAT,46208,1502,18477.05,17792.81,684.24
171209,MCOU,XX,591,3774,10,20134,ATORVASTAT,54386,1822,40474.81,40401.21,73.6
171213,MCOU,XX,591,3774,19,20134,ATORVASTAT,181426.845,6014,129825.25,129203.29,621.96
43867,FFSU,XX,591,3774,10,20134,ATORVASTAT,12485.5,404,4638.43,4524.38,114.05
43871,FFSU,XX,591,3774,19,20134,ATORVASTAT,46208,1502,18477.05,17792.81,684.24
171209,MCOU,XX,591,3774,10,20134,ATORVASTAT,54386,1822,40474.81,40401.21,73.6
171213,MCOU,XX,591,3774,19,20134,ATORVASTAT,181426.845,6014,129825.25,129203.29,621.96
43867,FFSU,XX,591,3774,10,20134,ATORVASTAT,12485.5,404,4638.43,4524.38,114.05
43871,FFSU,XX,591,3774,19,20134,ATORVASTAT,46208,1502,18477.05,17792.81,684.24
171209,MCOU,XX,591,3774,10,20134,ATORVASTAT,54386,1822,40474.81,40401.21,73.6
171213,MCOU,XX,591,3774,19,20134,ATORVASTAT,181426.845,6014,129825.25,129203.29,621.96
43875,FFSU,XX,591,3775,10,20134,ATORVASTAT,16891,520,7472.16,7070.05,402.11
43879,FFSU,XX,591,3775,19,20134,ATORVASTAT,58817,1876,28378.37,27311.55,1066.82
171217,MCOU,XX,591,3775,10,20134,ATORVASTAT,62217,2072,67457.28,67386.45,70.83
171221,MCOU,XX,591,3775,19,20134,ATORVASTAT,208659.84,6925,217124.24,216618.79,505.45
43875,FFSU,XX,591,3775,10,20134,ATORVASTAT,16891,520,7472.16,7070.05,402.11
43879,FFSU,XX,591,3775,19,20134,ATORVASTAT,58817,1876,28378.37,27311.55,1066.82
171217,MCOU,XX,591,3775,10,20134,ATORVASTAT,62217,2072,67457.28,67386.45,70.83
171221,MCOU,XX,591,3775,19,20134,ATORVASTAT,208659.84,6925,217124.24,216618.79,505.45
43875,FFSU,XX,591,3775,10,20134,ATORVASTAT,16891,520,7472.16,7070.05,402.11
43879,FFSU,XX,591,3775,19,20134,ATORVASTAT,58817,1876,28378.37,27311.55,1066.82
171217,MCOU,XX,591,3775,10,20134,ATORVASTAT,62217,2072,67457.28,67386.45,70.83
171221,MCOU,XX,591,3775,19,20134,ATORVASTAT,208659.84,6925,217124.24,216618.79,505.45
43875,FFSU,XX,591,3775,10,20134,ATORVASTAT,16891,520,7472.16,7070.05,402.11
43879,FFSU,XX,591,3775,19,20134,ATORVASTAT,58817,1876,28378.37,27311.55,1066.82
171217,MCOU,XX,591,3775,10,20134,ATORVASTAT,62217,2072,67457.28,67386.45,70.83
171221,MCOU,XX,591,3775,19,20134,ATORVASTAT,208659.84,6925,217124.24,216618.79,505.45
43883,FFSU,XX,591,3776,5,20134,ATORVASTAT,6600,218,2818.66,2766.82,51.84
43887,FFSU,XX,591,3776,19,20134,ATORVASTAT,47226,1489,22570.64,21907.43,663.21
171225,MCOU,XX,591,3776,5,20134,ATORVASTAT,34766.985,1154,36825.91,36561.97,263.94
171229,MCOU,XX,591,3776,19,20134,ATORVASTAT,175408.02,5765,170182.3,169352.72,829.58
