,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
48405,FFSU,XX,591.0,3774.0,10.0,20114.0,ATORVASTAT,233.0,9.0,735.7,735.7,0.0
48406,FFSU,XX,591.0,3774.0,19.0,20114.0,ATORVASTAT,107595.0,3379.0,346841.91,334630.36,12211.55
169513,MCOU,XX,591.0,3774.0,10.0,20114.0,ATORVASTAT,4432.6,167.0,14559.18,14558.18,1.0
169514,MCOU,XX,591.0,3774.0,19.0,20114.0,ATORVASTAT,157756.184,5967.0,529619.63,528971.49,648.14
48407,FFSU,XX,591.0,3775.0,10.0,20114.0,ATORVASTAT,637.0,22.0,2821.49,2803.72,17.77
48408,FFSU,XX,591.0,3775.0,19.0,20114.0,ATORVASTAT,164769.0,5188.0,744824.18,723702.11,21122.07
169515,MCOU,XX,591.0,3775.0,10.0,20114.0,ATORVASTAT,3688.36,135.0,16921.89,16921.89,0.0
169516,MCOU,XX,591.0,3775.0,19.0,20114.0,ATORVASTAT,192079.06,7104.0,897974.34,896724.25,1250.09
48409,FFSU,XX,591.0,3776.0,5.0,20114.0,ATORVASTAT,636.0,21.0,2910.82,2892.82,18.0
48410,FFSU,XX,591.0,3776.0,19.0,20114.0,ATORVASTAT,161671.0,5125.0,735839.96,715428.28,20411.68
169517,MCOU,XX,591.0,3776.0,5.0,20114.0,ATORVASTAT,2535.36,96.0,12109.25,12102.25,7.0
169518,MCOU,XX,591.0,3776.0,19.0,20114.0,ATORVASTAT,175323.72600000002,6499.0,815544.69,814549.19,995.5
48411,FFSU,XX,591.0,3777.0,5.0,20114.0,ATORVASTAT,330.0,12.0,1497.56,1493.06,4.5
48412,FFSU,XX,591.0,3777.0,19.0,20114.0,ATORVASTAT,83128.0,2737.0,374737.57,363288.56,11449.01
169519,MCOU,XX,591.0,3777.0,5.0,20114.0,ATORVASTAT,1245.09,45.0,5514.24,5510.24,4.0
169520,MCOU,XX,591.0,3777.0,19.0,20114.0,ATORVASTAT,92793.295,3412.0,422090.47,421601.58,488.89
112655,FFSU,XX,63304.0,827.0,90.0,20114.0,ATORVASTAT,40254.0,1270.0,121624.49,117872.11,3752.38
219740,MCOU,XX,63304.0,827.0,90.0,20114.0,ATORVASTAT,66334.305,2566.0,225046.95,225018.95,28.0
112656,FFSU,XX,63304.0,828.0,90.0,20114.0,ATORVASTAT,55654.5,1790.0,242050.99,236902.73,5148.26
219741,MCOU,XX,63304.0,828.0,90.0,20114.0,ATORVASTAT,88208.16900000001,3306.0,414438.39,413897.9,540.49
112657,FFSU,XX,63304.0,829.0,90.0,20114.0,ATORVASTAT,54715.5,1767.0,239306.22,234559.76,4746.46
219742,MCOU,XX,63304.0,829.0,90.0,20114.0,ATORVASTAT,76487.435,2869.0,362964.39,362852.76,111.63
112658,FFSU,XX,63304.0,830.0,90.0,20114.0,ATORVASTAT,23641.0,765.0,102150.37,100052.58,2097.79
219743,MCOU,XX,63304.0,830.0,90.0,20114.0,ATORVASTAT,38434.72,1417.0,174954.33,174704.43,249.9
10202,FFSU,XX,71.0,155.0,23.0,20111.0,LIPITOR 10,3935478.81,114454.0,13521437.51,13362816.53,158620.98
10203,FFSU,XX,71.0,155.0,23.0,20112.0,LIPITOR 10,3591519.204,102234.0,12529091.36,12384989.65,144101.71
10204,FFSU,XX,71.0,155.0,23.0,20113.0,LIPITOR 10,3308849.0,94182.0,12031405.38,11879461.24,151944.14
10205,FFSU,XX,71.0,155.0,23.0,20114.0,LIPITOR 10,1848571.1,53312.0,6885271.9,6749914.43,135357.47
10206,FFSU,XX,71.0,155.0,34.0,20111.0,LIPITOR 10,29293.0,816.0,100291.84,99005.43,1286.41
10207,FFSU,XX,71.0,155.0,34.0,20112.0,LIPITOR 10,28865.0,789.0,100316.09,99019.58,1296.51
10208,FFSU,XX,71.0,155.0,34.0,20113.0,LIPITOR 10,25747.0,696.0,93318.78,92362.69,956.09
10209,FFSU,XX,71.0,155.0,34.0,20114.0,LIPITOR 10,14917.0,344.0,54089.97,53291.0,798.97
10210,FFSU,XX,71.0,155.0,40.0,20111.0,LIPITOR 10,7533.02,320.0,26847.8,25416.72,1431.08
10211,FFSU,XX,71.0,155.0,40.0,20112.0,LIPITOR 10,6557.05,294.0,23953.49,22764.66,1188.83
10212,FFSU,XX,71.0,155.0,40.0,20113.0,LIPITOR 10,6074.0,260.0,24052.29,22093.45,1958.84
10213,FFSU,XX,71.0,155.0,40.0,20114.0,LIPITOR 10,6417.08,272.0,25332.06,24103.07,1228.99
138682,MCOU,XX,71.0,155.0,23.0,20111.0,LIPITOR 10,103871.0,3620.0,359457.22,354459.2,4998.02
138683,MCOU,XX,71.0,155.0,23.0,20112.0,LIPITOR 10,112882.0,3840.0,402270.03,396290.91,5979.12
138684,MCOU,XX,71.0,155.0,23.0,20113.0,LIPITOR 10,142363.0,4870.0,541188.35,534301.86,6886.49
138685,MCOU,XX,71.0,155.0,23.0,20114.0,LIPITOR 10,949419.6240000001,32139.0,3519743.66,3511563.49,8180.17
138686,MCOU,XX,71.0,155.0,34.0,20111.0,LIPITOR 10,3073.0,105.0,10563.26,10560.26,3.0
