,,,,,,,,,,,,,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,OLANZAPINE,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA,ZYPREXA
,,,,,,,,,,,,,20111,20112,20113,20114,20111,20112,20113,20114,20111,20112,20113,20114,20111,20112,20113,20114,20121,20122,20123,20124,20121,20122,20123,20124,20121,20122,20123,20124,20121,20122,20123,20124,20131,20132,20133,20134,20131,20132,20133,20134,20131,20132,20133,20134,20131,20132,20133,20134
,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU
689873,MCOU,XX,49884,320,55,20133,OLANZAPINE,3864,106,26301.95,26100.85,201.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
689874,MCOU,XX,49884,320,55,20134,OLANZAPINE,5444,149,29547.12,29066.64,480.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
83486,FFSU,XX,49884,321,55,20114,OLANZAPINE,12984,306,181651.66,178962.29,2689.37,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197628,MCOU,XX,49884,321,55,20114,OLANZAPINE,2254.03,64,32486.93,32483.93,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314968,FFSU,XX,49884,321,55,20121,OLANZAPINE,22020,555,293960.26,288499.22,5461.04,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314969,FFSU,XX,49884,321,55,20122,OLANZAPINE,18794,480,211382.88,206537.38,4845.5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314970,FFSU,XX,49884,321,55,20123,OLANZAPINE,19651,507,150967.05,148104.38,2862.67,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314971,FFSU,XX,49884,321,55,20124,OLANZAPINE,17081,461,131922.8,126865.13,5057.67,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438321,MCOU,XX,49884,321,55,20121,OLANZAPINE,4875,159,61651.95,61648.95,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
438322,MCOU,XX,49884,321,55,20122,OLANZAPINE,5679,174,61375.38,61363.38,12,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
438323,MCOU,XX,49884,321,55,20123,OLANZAPINE,4974,155,46866.42,46866.42,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
438324,MCOU,XX,49884,321,55,20124,OLANZAPINE,5215.18,161,46597.56,46422.96,174.6,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
562878,FFSU,XX,49884,321,55,20131,OLANZAPINE,22609,592,133430.62,129711.31,3719.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
562879,FFSU,XX,49884,321,55,20132,OLANZAPINE,19536,512,107597.47,103959.42,3638.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
562880,FFSU,XX,49884,321,55,20133,OLANZAPINE,18378,468,86925.58,83166.73,3758.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
562881,FFSU,XX,49884,321,55,20134,OLANZAPINE,14935,392,62415.43,59781.61,2633.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
689875,MCOU,XX,49884,321,55,20131,OLANZAPINE,7278,203,64193.91,64183.61,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
689876,MCOU,XX,49884,321,55,20132,OLANZAPINE,4920,155,37850.63,37850.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
689877,MCOU,XX,49884,321,55,20133,OLANZAPINE,3300,100,27592.19,27497.44,94.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
689878,MCOU,XX,49884,321,55,20134,OLANZAPINE,3865,98,30662.92,27616.51,3046.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
83487,FFSU,XX,49884,322,52,20114,*OLANZAPIN,30,1,442.9,442.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83488,FFSU,XX,49884,322,55,20114,OLANZAPINE,7476,189,149912.12,147946.53,1965.59,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197629,MCOU,XX,49884,322,55,20114,OLANZAPINE,1152,28,22722.64,22722.64,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314972,FFSU,XX,49884,322,55,20121,OLANZAPINE,12019,311,234936.19,232327.89,2608.3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314973,FFSU,XX,49884,322,55,20122,OLANZAPINE,10133,258,163653.5,161276.83,2376.67,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314974,FFSU,XX,49884,322,55,20123,OLANZAPINE,10813,273,121825.1,117790.9,4034.2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314975,FFSU,XX,49884,322,55,20124,OLANZAPINE,9619,260,91060.35,87539.16,3521.19,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
