LabelerCode,ProductCode
63629,1446
63629,1446
63629,1447
63629,2724
63629,3366
63629,3366
63629,3366
63629,3366
63629,3366
63629,4796
63629,4796
63629,4801
63629,4849
63629,4849
63629,4849
63629,4850
63629,4850
63629,4850
63629,4865
66116,498
68258,6041
68258,6042
68258,6043
68258,6043
68258,6044
68258,6044
68258,6992
68258,6993
68645,402
68645,403
68645,417
68645,418
68645,458
68645,459
68645,460
68645,461
67544,60
67544,60
67544,60
67544,60
67544,247
67544,247
67544,247
68084,97
68084,98
68084,99
68084,564
68084,565
68084,589
68084,590
62175,890
62175,890
62175,890
62175,891
62175,891
62175,891
62175,892
62175,892
62175,892
62175,897
62175,897
62175,897
68788,9556
68788,9556
68788,9556
68788,9556
68788,9681
68788,9681
68788,9681
68788,9681
68788,9683
68788,9683
68788,9683
68788,9683
21695,255
179,141
591,3774
591,3774
591,3774
591,3774
591,3775
591,3775
591,3775
591,3775
591,3776
591,3776
591,3776
591,3776
591,3777
591,3777
591,3777
591,3777
49299,1090
49299,1091
49299,1092
49299,1093
49349,110
49999,392
49999,392
49999,467
49999,467
49999,468
49999,468
49999,882
49999,882
50436,9983
50436,9987
50436,9988
50436,9989
42254,19
42254,261
42254,261
42254,261
42254,267
42254,267
42254,267
42254,307
42291,143
42291,143
42291,144
42291,144
42291,145
42291,145
42291,146
42291,146
43063,373
43063,453
43063,474
43063,474
43063,487
60505,2578
60505,2578
60505,2578
60505,2578
60505,2578
60505,2578
60505,2579
60505,2579
60505,2579
60505,2579
60505,2579
60505,2579
60505,2580
60505,2580
60505,2580
60505,2580
60505,2580
60505,2580
60505,2671
60505,2671
60505,2671
60505,2671
60505,2671
60505,2671
55111,121
55111,121
55111,121
55111,121
55111,122
55111,122
55111,122
55111,122
55111,123
55111,123
55111,123
55111,123
55111,124
55111,124
55111,124
55111,124
55154,2421
55154,2422
55154,2428
55154,2434
54868,6319
54868,6320
54868,6320
54868,6321
54868,6321
54868,6321
54868,6322
54868,6322
54868,3934
54868,3934
54868,3934
54868,3934
54868,3934
54868,3946
54868,3946
54868,3946
54868,3946
54868,3946
54868,4229
54868,4229
54868,4229
54868,4229
54868,4934
54868,4934
54868,4934
54868,4934
54569,4466
54569,4466
54569,4466
54569,4467
54569,4467
54569,4587
54569,4587
54569,5382
54569,5382
35356,894
35356,894
35356,894
35356,929
35356,929
35356,929
51079,409
51079,410
51079,411
51079,412
51655,610
51655,640
51655,650
51655,920
52125,437
52125,679
52125,737
33261,959
33261,959
33261,959
904,6290
904,6291
904,6292
904,6293
55154,5884
58517,1
60760,353
60760,354
60760,354
60760,355
60760,356
62034,11
62034,11
62034,11
62034,11
62034,12
62034,12
62034,12
62034,12
62034,13
62034,13
62034,13
62034,13
62034,14
62034,14
62034,14
62034,14
62034,14
60429,323
60429,323
60429,323
60429,323
60429,324
60429,324
60429,324
60429,324
60429,325
60429,325
60429,325
60429,325
60429,326
60429,326
60429,326
60429,326
43063,496
43353,815
43353,815
43353,815
43353,815
43353,821
43353,821
68151,1013
53808,959
53808,1035
54458,881
43353,904
68645,480
68645,481
68645,482
68645,483
63304,827
63304,827
63304,828
63304,828
63304,829
63304,829
63304,830
63304,830
43353,826
43353,826
43353,826
43353,827
43353,827
43353,827
43353,827
43353,827
43353,892
51079,208
51079,209
51079,210
51079,211
781,5381
781,5381
781,5381
781,5381
781,5381
781,5382
781,5382
781,5382
781,5382
781,5382
781,5384
781,5384
781,5384
781,5384
781,5384
781,5388
781,5388
781,5388
781,5388
378,2015
378,2017
378,2121
378,2121
378,2122
378,2122
378,3950
378,3950
378,3951
378,3951
378,3952
378,3952
378,3953
378,3953
71,155
71,155
71,155
71,155
71,155
71,156
71,156
71,156
71,156
71,156
71,157
71,157
71,157
71,157
71,157
71,158
71,158
71,158
71,158
59762,155
59762,155
59762,156
59762,156
59762,157
59762,157
59762,158
59762,158
55289,800
55289,861
55289,870
55154,4754
55154,4755
55154,2096
33261,972
33261,972
53808,951
