,,,,,,,,,,,,,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor
,,,,,,,,,,,,,20111,20112,20113,20114,20111,20112,20113,20114,20111,20112,20113,20114,20111,20112,20113,20114,20121,20122,20123,20124,20121,20122,20123,20124,20121,20122,20123,20124,20121,20122,20123,20124,20131,20132,20133,20134,20131,20132,20133,20134,20131,20132,20133,20134,20131,20132,20133,20134
,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU
10236,FFSU,XX,71,157,73,20113,LIPITOR 40,87802.001,2656,457421.21,448066.43,9354.78,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10237,FFSU,XX,71,157,73,20114,LIPITOR 40,55011,1653,293552.73,283493.97,10058.76,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10238,FFSU,XX,71,157,88,20111,LIPITOR 40,840,23,4044.92,4044.92,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10239,FFSU,XX,71,157,88,20112,LIPITOR (A,885,18,4311.79,4311.79,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10240,FFSU,XX,71,157,88,20113,LIPITOR (A,727,21,3752.26,3749.26,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10241,FFSU,XX,71,157,88,20114,LIPITOR 40,471,15,2041.4,2021.4,20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138706,MCOU,XX,71,157,23,20111,LIPITOR 40,211921,7554,1079082.2,1074658.31,4423.89,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138707,MCOU,XX,71,157,23,20112,LIPITOR 40,240296,8497,1296100.71,1288542.77,7557.94,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138708,MCOU,XX,71,157,23,20113,LIPITOR 40,305041,10564,1855536,1848158,7378,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138709,MCOU,XX,71,157,23,20114,LIPITOR 40,1039347.962,35562,5855047.86,5840735.32,14312.54,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138710,MCOU,XX,71,157,40,20111,LIPITOR 40,238,8,1071.18,1050.18,21,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138711,MCOU,XX,71,157,40,20112,LIPITOR 40,297,12,1441.18,1441.18,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138712,MCOU,XX,71,157,40,20113,LIPITOR 40,355,22,1954.76,1954.76,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138713,MCOU,XX,71,157,40,20114,LIPITOR 40,738,24,4074.12,4036.61,37.51,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138714,MCOU,XX,71,157,73,20111,LIPITOR 40,3138,113,15528.46,15458.46,70,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138715,MCOU,XX,71,157,73,20112,LIPITOR 40,4825,169,24623.12,24498.62,124.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138716,MCOU,XX,71,157,73,20113,LIPITOR 40,5876,223,31198.54,31102.54,96,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138717,MCOU,XX,71,157,73,20114,LIPITOR 40,30985.18,1082,163055.57,162964.57,91,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138718,MCOU,XX,71,157,88,20112,Lipitor (a,30,1,149.48,149.48,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138719,MCOU,XX,71,157,88,20113,Lipitor (a,15,2,79.78,79.78,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138720,MCOU,XX,71,157,88,20114,LIPITOR (A,300.06,12,1858.84,1858.84,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10242,FFSU,XX,71,158,23,20111,LIPITOR 80,1689422.5,52169,8250756.19,8139677.86,111078.33,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10243,FFSU,XX,71,158,23,20112,LIPITOR 80,1589522,48046,7908686.65,7805305.89,103380.76,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10244,FFSU,XX,71,158,23,20113,LIPITOR 80,1513442.051,46130,7855727.34,7735375.52,120351.82,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10245,FFSU,XX,71,158,23,20114,LIPITOR 80,968337.001,29732,5131013.35,5024688.43,106324.92,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246,FFSU,XX,71,158,73,20111,LIPITOR 80,18255,558,87951.03,86241.99,1709.04,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10247,FFSU,XX,71,158,73,20112,LIPITOR 80,16780,526,85113.31,81337.11,3776.2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10248,FFSU,XX,71,158,73,20113,LIPITOR 80,19025,604,99507.23,95390.45,4116.78,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10249,FFSU,XX,71,158,73,20114,LIPITOR 80,12283,397,66100.54,61349.53,4751.01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,FFSU,XX,71,158,88,20111,LIPITOR 80,630,19,2989.43,2980.43,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10251,FFSU,XX,71,158,88,20112,LIPITOR (A,480,14,2338.91,2338.91,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10252,FFSU,XX,71,158,88,20113,LIPITOR (A,510,15,2607.94,2607.94,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10253,FFSU,XX,71,158,88,20114,LIPITOR 80,300,8,1589.95,1589.95,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10254,FFSU,XX,71,158,92,20111,LIPITOR 80,2219,104,12478.51,11691.05,787.46,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10255,FFSU,XX,71,158,92,20112,LIPITOR 80,3141,128,17488.12,16844.72,643.4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10256,FFSU,XX,71,158,92,20113,LIPITOR 80,2941.5,147,15482.43,15482.43,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10257,FFSU,XX,71,158,92,20114,LIPITOR 80,2044,103,11387.18,11387.18,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138721,MCOU,XX,71,158,23,20111,LIPITOR 80,190537.5,6788,1192306.64,1189166.11,3140.53,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138722,MCOU,XX,71,158,23,20112,LIPITOR 80,220645.5,7752,1609488.83,1604718.87,4769.96,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138723,MCOU,XX,71,158,23,20113,LIPITOR 80,227437,8226,2534906.41,2528731.1,6175.31,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138724,MCOU,XX,71,158,23,20114,LIPITOR 80,537793.355,18783,4779931.63,4772090.31,7841.32,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138725,MCOU,XX,71,158,73,20111,LIPITOR 80,1143,39,5684.58,5614.08,70.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138726,MCOU,XX,71,158,73,20112,LIPITOR 80,1314,47,6723.59,6639.59,84,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138727,MCOU,XX,71,158,73,20113,LIPITOR 80,2153,75,11827.51,11827.51,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138728,MCOU,XX,71,158,73,20114,LIPITOR 80,6586.03,222,36022.15,36015.85,6.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138729,MCOU,XX,71,158,88,20114,LIPITOR (A,480.03,17,2597.31,2597.31,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138730,MCOU,XX,71,158,92,20111,LIPITOR 80,52,4,300.35,300.35,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138731,MCOU,XX,71,158,92,20112,LIPITOR 80,98,6,532.69,532.69,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138732,MCOU,XX,71,158,92,20113,LIPITOR 80,7,3,42.04,39.04,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138733,MCOU,XX,71,158,92,20114,LIPITOR 80,109,4,610.15,607.15,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123602,FFSU,XX,68084,564,1,20121,ATORVASTAT,30,1,112.11,112.11,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123603,FFSU,XX,68084,564,1,20122,ATORVASTAT,138,8,458.9,458.9,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123604,FFSU,XX,68084,564,1,20123,ATORVASTAT,512,26,882.18,852.38,29.8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123605,FFSU,XX,68084,564,1,20124,ATORVASTAT,1103,61,745.75,700.05,45.7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123606,FFSU,XX,68084,564,11,20124,ATORVASTAT,120,4,83.52,32.07,51.45,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243694,MCOU,XX,68084,564,1,20124,ATORVASTAT,128,8,2240.26,2240.23,0.03,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
123607,FFSU,XX,68084,565,1,20121,ATORVASTAT,30,1,155.99,155.99,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123608,FFSU,XX,68084,565,1,20122,ATORVASTAT,366,11,1887.74,1887.74,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123609,FFSU,XX,68084,565,1,20123,ATORVASTAT,864,34,1336.16,1329.16,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123610,FFSU,XX,68084,565,1,20124,ATORVASTAT,1306,55,942.23,913.23,29,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123611,FFSU,XX,68084,565,11,20123,ATORVASTAT,30,1,28,28,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123612,FFSU,XX,68084,565,11,20124,ATORVASTAT,212,8,139.02,139.02,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243695,MCOU,XX,68084,565,1,20121,ATORVASTAT,30,1,143.61,143.61,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
243696,MCOU,XX,68084,565,1,20122,ATORVASTAT,30,1,133.68,133.68,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
243697,MCOU,XX,68084,565,1,20123,ATORVASTAT,182,7,217.14,217.14,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
243698,MCOU,XX,68084,565,1,20124,ATORVASTAT,393,15,6133.89,6133.89,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
123637,FFSU,XX,68084,589,1,20123,ATORVASTAT,390,13,461.2,461.2,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123638,FFSU,XX,68084,589,1,20124,ATORVASTAT,823,34,663.79,647.79,16,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123639,FFSU,XX,68084,589,11,20123,ATORVASTAT,120,4,111.99,111.99,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123640,FFSU,XX,68084,589,11,20124,ATORVASTAT,511,18,320.8,320.8,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243708,MCOU,XX,68084,589,1,20124,ATORVASTAT,210,7,189.94,186.94,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
45144,FFSU,XX,591,3774,10,20121,ATORVASTAT,1725,59,5119.1,4964.38,154.72,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45145,FFSU,XX,591,3774,10,20122,ATORVASTAT,9573,331,25332.41,24675.61,656.8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45146,FFSU,XX,591,3774,10,20123,ATORVASTAT,25245,828,26332.38,25916.35,416.03,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45147,FFSU,XX,591,3774,10,20124,ATORVASTAT,38889,1268,30333.69,29460,873.69,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45148,FFSU,XX,591,3774,19,20121,ATORVASTAT,272762,8419,886983.1,864384.41,22598.69,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45149,FFSU,XX,591,3774,19,20122,ATORVASTAT,326589,10062,976821.19,957051.19,19770,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45150,FFSU,XX,591,3774,19,20123,ATORVASTAT,508172.5,15584,600133.55,581363.85,18769.7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45151,FFSU,XX,591,3774,19,20124,ATORVASTAT,444821.5,13769,282072.55,269560.03,12512.52,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170545,MCOU,XX,591,3774,10,20121,ATORVASTAT,35621.71,1150,99528.89,99523.39,5.5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
170546,MCOU,XX,591,3774,10,20122,ATORVASTAT,36493,1233,90763.22,90612.64,150.58,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
170547,MCOU,XX,591,3774,10,20123,ATORVASTAT,47338,1589,41267.3,41005.18,262.12,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
170548,MCOU,XX,591,3774,10,20124,ATORVASTAT,63860.935,2209,51676.88,51637.68,39.2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
170549,MCOU,XX,591,3774,19,20121,ATORVASTAT,641003.704,20874,1822803.31,1818593.64,4209.67,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
170550,MCOU,XX,591,3774,19,20122,ATORVASTAT,678994,23068,1802613.37,1777083.44,25529.93,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
170551,MCOU,XX,591,3774,19,20123,ATORVASTAT,673050.5,22494,722662.79,720348.38,2314.41,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
170552,MCOU,XX,591,3774,19,20124,ATORVASTAT,611763.824,20743,543648.56,542351.38,1297.18,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
45152,FFSU,XX,591,3775,10,20121,ATORVASTAT,3033,103,15082.14,14600.66,481.48,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45153,FFSU,XX,591,3775,10,20122,ATORVASTAT,10096,336,38831.92,37351.18,1480.74,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45154,FFSU,XX,591,3775,10,20123,ATORVASTAT,29038,960,55756.61,54470.2,1286.41,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45155,FFSU,XX,591,3775,10,20124,ATORVASTAT,67674,2140,61772.83,60028.84,1743.99,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45156,FFSU,XX,591,3775,19,20121,ATORVASTAT,429646.001,13170,1950300.92,1912848.32,37452.6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45157,FFSU,XX,591,3775,19,20122,ATORVASTAT,456389,13981,1888128.79,1853846.93,34281.86,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45158,FFSU,XX,591,3775,19,20123,ATORVASTAT,736572,22433,1131665.32,1102271.28,29394.04,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45159,FFSU,XX,591,3775,19,20124,ATORVASTAT,613940.501,19006,489748.6,470075.25,19673.35,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170553,MCOU,XX,591,3775,10,20121,ATORVASTAT,37984.22,1233,153982.78,153978.78,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
170554,MCOU,XX,591,3775,10,20122,ATORVASTAT,43524,1456,150707.37,149716.93,990.44,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
170555,MCOU,XX,591,3775,10,20123,ATORVASTAT,60581,2020,75028.55,74712.79,315.76,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
170556,MCOU,XX,591,3775,10,20124,ATORVASTAT,80124,2661,97898.24,97662.44,235.8,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
170557,MCOU,XX,591,3775,19,20121,ATORVASTAT,785748.666,25900,3157075.52,3151391.79,5683.73,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
170558,MCOU,XX,591,3775,19,20122,ATORVASTAT,871111.499,29507,3212467.6,3167727.39,44740.21,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
170559,MCOU,XX,591,3775,19,20123,ATORVASTAT,867737,29020,1305603.46,1301802.98,3800.48,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
170560,MCOU,XX,591,3775,19,20124,ATORVASTAT,804651.972,26978,1009402.73,1008017.63,1385.1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
45160,FFSU,XX,591,3776,5,20121,ATORVASTAT,5368,181,25720.35,25058.8,661.55,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45161,FFSU,XX,591,3776,5,20122,ATORVASTAT,10384,356,42298.99,40989.23,1309.76,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45162,FFSU,XX,591,3776,5,20123,ATORVASTAT,24801,812,48430.94,47709.11,721.83,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45163,FFSU,XX,591,3776,5,20124,ATORVASTAT,64026.5,1994,67172,65816.75,1355.25,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45164,FFSU,XX,591,3776,19,20121,ATORVASTAT,455042,14091,2084061.56,2044466.32,39595.24,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45165,FFSU,XX,591,3776,19,20122,ATORVASTAT,449126,13738,1865505.91,1829544.38,35961.53,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45166,FFSU,XX,591,3776,19,20123,ATORVASTAT,710607,21525,1049304.67,1018299.07,31005.6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45167,FFSU,XX,591,3776,19,20124,ATORVASTAT,566973.5,17397,468070.57,447613.23,20457.34,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170561,MCOU,XX,591,3776,5,20121,ATORVASTAT,25866.34,856,108069.51,107904.64,164.87,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
170562,MCOU,XX,591,3776,5,20122,ATORVASTAT,36228,1232,166639.47,165759.87,879.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
170563,MCOU,XX,591,3776,5,20123,ATORVASTAT,52923,1774,76087.85,75926.85,161,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
170564,MCOU,XX,591,3776,5,20124,ATORVASTAT,79048.97,2671,98435.6,98266.4,169.2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
170565,MCOU,XX,591,3776,19,20121,ATORVASTAT,747519.507,25321,3136217.83,3130859.64,5358.19,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
170566,MCOU,XX,591,3776,19,20122,ATORVASTAT,941283.001,32590,3617703.28,3583795.5,33907.78,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
170567,MCOU,XX,591,3776,19,20123,ATORVASTAT,936135,31642,1486212.32,1481602.44,4609.88,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
170568,MCOU,XX,591,3776,19,20124,ATORVASTAT,782475,26386,974975.5,972946.33,2029.17,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
45168,FFSU,XX,591,3777,5,20121,ATORVASTAT,1753,69,7509.82,6966.45,543.37,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45169,FFSU,XX,591,3777,5,20122,ATORVASTAT,4312,144,15616.66,14965.65,651.01,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45170,FFSU,XX,591,3777,5,20123,ATORVASTAT,7226,241,8583.29,8441.51,141.78,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45171,FFSU,XX,591,3777,5,20124,ATORVASTAT,9975,317,7707.35,7529.67,177.68,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45172,FFSU,XX,591,3777,19,20121,ATORVASTAT,243636,7875,1103277.45,1087130.48,16146.97,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45173,FFSU,XX,591,3777,19,20122,ATORVASTAT,228113.5,7305,938792.25,922801.18,15991.07,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45174,FFSU,XX,591,3777,19,20123,ATORVASTAT,338152.5,10461,484197.32,469220.56,14976.76,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45175,FFSU,XX,591,3777,19,20124,ATORVASTAT,276827,8529,237782.08,228334.35,9447.73,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170569,MCOU,XX,591,3777,5,20121,ATORVASTAT,10370.88,356,42465.28,42437.78,27.5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
170570,MCOU,XX,591,3777,5,20122,ATORVASTAT,14764,512,52388.2,52176.49,211.71,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
170571,MCOU,XX,591,3777,5,20123,ATORVASTAT,19977,702,26333.26,26282.61,50.65,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
170572,MCOU,XX,591,3777,5,20124,ATORVASTAT,22560,755,26107.41,25952.91,154.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
170573,MCOU,XX,591,3777,19,20121,ATORVASTAT,382902.55,13108,2084129.76,2081537.57,2592.19,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
170574,MCOU,XX,591,3777,19,20122,ATORVASTAT,439343.5,15286,2390738.21,2377513.75,13224.46,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
170575,MCOU,XX,591,3777,19,20123,ATORVASTAT,411579.5,13967,648287.29,645519.59,2767.7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
